"","id_i","druhK_opraveno","druhO_opraveno","pocet"
"47572","19-8-22-18-4-72","nic","nic",NA
"47575","23-8-18-19-19-35","nic","nic",NA
"47580","23-8-19-7-23-L6","nic","nic",NA
"47581","23-8-19-7-29-L5","nic","nic",NA
"47584","23-8-15-11-43-53","nic","nic",NA
"47587","23-8-19-7-40-98","nic","nic",NA
"47593","24-8-17-10-52-61","nic","nic",NA
"47597","23-8-19-7-58-84","nic","nic",NA
"47598","19-8-22-18-25-87","nic","nic",NA
"47599","19-8-21-12-14-L4","nic","nic",NA
"47601","19-8-22-18-25-88","nic","nic",NA
"47602","19-8-22-18-27-89","nic","nic",NA
"47612","23-8-15-12-16-72","nic","nic",NA
"47636","24-8-17-18-43-L8","nic","nic",NA
"47648","23-8-15-12-50-91","nic","nic",NA
"47658","19-8-22-19-23-25","nic","nic",NA
"47662","19-8-22-19-26-29","nic","nic",NA
"47663","19-8-22-19-27-32","nic","nic",NA
"47669","19-8-21-10-44-58","nic","nic",NA
"47676","23-8-19-9-57-15","nic","nic",NA
"47684","19-8-23-7-26-82","nic","nic",NA
